pr_number,title,repository,repository_full,state,author,created_at,updated_at,closed_at,comments_count,labels,label_count,days_open,url,body_length,year_month,year,month,quarter,is_merged,is_closed,is_open
12074,Coalesce false in ItemDimension,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-11-06 12:56:55+00:00,2023-11-06 16:05:06+00:00,2023-11-06 16:05:05+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/12074,350,2023-11,2023,11,Q4 2023,True,False,False
2255,Remove additional field from item_sale join,lookml,vinted/lookml,merged,jeremychia,2023-11-06 13:10:14+00:00,2023-11-06 13:12:15+00:00,2023-11-06 13:12:14+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2255,123,2023-11,2023,11,Q4 2023,True,False,False
2260,Hides Offline Verification Eligible Now from Item Sale,lookml,vinted/lookml,merged,jeremychia,2023-11-07 13:43:51+00:00,2023-11-22 10:34:41+00:00,2023-11-22 10:34:40+00:00,0,,0,14,https://github.com/vinted/lookml/pull/2260,163,2023-11,2023,11,Q4 2023,True,False,False
12257,Introduce new dimensions for reg2emailverify_7d,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-11-16 10:13:11+00:00,2023-11-16 16:23:32+00:00,2023-11-16 16:23:31+00:00,5,,0,0,https://github.com/vinted/warehouse-jobs/pull/12257,1014,2023-11,2023,11,Q4 2023,True,False,False
2319,Remove forum deprecation dimensions [bug fix],lookml,vinted/lookml,merged,jeremychia,2023-11-27 12:06:07+00:00,2023-11-27 12:23:14+00:00,2023-11-27 12:23:13+00:00,1,,0,0,https://github.com/vinted/lookml/pull/2319,378,2023-11,2023,11,Q4 2023,True,False,False
2330,Introducing HVF Users Batch View,lookml,vinted/lookml,merged,jeremychia,2023-11-30 11:01:42+00:00,2023-12-04 14:02:45+00:00,2023-12-04 14:02:44+00:00,0,,0,4,https://github.com/vinted/lookml/pull/2330,508,2023-11,2023,11,Q4 2023,True,False,False
12447,Introducing HVF Users Batch View,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-11-30 13:53:20+00:00,2023-12-04 11:57:53+00:00,2023-12-04 11:57:52+00:00,6,,0,3,https://github.com/vinted/warehouse-jobs/pull/12447,856,2023-11,2023,11,Q4 2023,True,False,False
12496,"HVF Users Dim: Sequence, First Listing/Purchase Price Additions",warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-12-04 16:35:02+00:00,2023-12-06 16:39:16+00:00,2023-12-06 16:39:15+00:00,18,,0,2,https://github.com/vinted/warehouse-jobs/pull/12496,1426,2023-12,2023,12,Q4 2023,True,False,False
2347,"HVF Users Dim: Sequence, First Listing/Purhcase Price Additions",lookml,vinted/lookml,merged,jeremychia,2023-12-05 10:05:20+00:00,2023-12-07 10:55:08+00:00,2023-12-07 10:55:07+00:00,1,,0,2,https://github.com/vinted/lookml/pull/2347,1090,2023-12,2023,12,Q4 2023,True,False,False
12507,Add country code to HVF Batch View,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-12-05 12:19:17+00:00,2023-12-06 10:39:10+00:00,2023-12-06 10:39:09+00:00,5,,0,0,https://github.com/vinted/warehouse-jobs/pull/12507,417,2023-12,2023,12,Q4 2023,True,False,False
2348,Add country code to HVF Batch View,lookml,vinted/lookml,closed,jeremychia,2023-12-05 12:29:10+00:00,2024-11-24 11:46:48+00:00,2023-12-05 12:30:13+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2348,14,2023-12,2023,12,Q4 2023,False,True,False
2349,Add country code to HVF Batch View,lookml,vinted/lookml,merged,jeremychia,2023-12-05 12:30:39+00:00,2023-12-06 11:32:05+00:00,2023-12-06 11:32:04+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2349,363,2023-12,2023,12,Q4 2023,True,False,False
12542,Import HVF Targets,warehouse-jobs,vinted/warehouse-jobs,closed,jeremychia,2023-12-06 15:04:40+00:00,2023-12-07 08:50:25+00:00,2023-12-07 08:50:25+00:00,0,,0,0,https://github.com/vinted/warehouse-jobs/pull/12542,649,2023-12,2023,12,Q4 2023,False,True,False
12551,Switch dependencies in HighValueFashionUserDimension back to ItemSaleFact,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-12-07 08:46:52+00:00,2023-12-07 14:51:18+00:00,2023-12-07 14:51:17+00:00,2,,0,0,https://github.com/vinted/warehouse-jobs/pull/12551,650,2023-12,2023,12,Q4 2023,True,False,False
12553,Importing HVF Targets from Google Sheets,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-12-07 08:51:12+00:00,2023-12-07 12:15:56+00:00,2023-12-07 12:15:55+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/12553,649,2023-12,2023,12,Q4 2023,True,False,False
12565,Use lister_nth_listing in HVFUserDim,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-12-07 14:08:00+00:00,2023-12-07 18:13:54+00:00,2023-12-07 18:13:53+00:00,2,,0,0,https://github.com/vinted/warehouse-jobs/pull/12565,343,2023-12,2023,12,Q4 2023,True,False,False
12569,Create Aggregates for HVF Listings and ItemSale,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-12-07 16:47:24+00:00,2023-12-13 12:39:36+00:00,2023-12-13 12:39:35+00:00,8,,0,5,https://github.com/vinted/warehouse-jobs/pull/12569,566,2023-12,2023,12,Q4 2023,True,False,False
2376,Expose HVF Aggregate tables,lookml,vinted/lookml,merged,jeremychia,2023-12-12 13:03:46+00:00,2023-12-18 10:53:08+00:00,2023-12-18 10:53:07+00:00,0,,0,5,https://github.com/vinted/lookml/pull/2376,116,2023-12,2023,12,Q4 2023,True,False,False
2377,Declare primary key in high_value_fashion_user_batch_view,lookml,vinted/lookml,merged,jeremychia,2023-12-12 13:38:44+00:00,2023-12-12 13:48:14+00:00,2023-12-12 13:48:13+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2377,92,2023-12,2023,12,Q4 2023,True,False,False
12758,HVF Actual vs Targets,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-12-20 16:00:30+00:00,2023-12-21 18:08:54+00:00,2023-12-21 18:08:53+00:00,6,,0,1,https://github.com/vinted/warehouse-jobs/pull/12758,2279,2023-12,2023,12,Q4 2023,True,False,False
2417,HVF Actual vs Targets,lookml,vinted/lookml,merged,jeremychia,2023-12-21 11:15:15+00:00,2023-12-22 08:08:08+00:00,2023-12-22 08:08:07+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2417,141,2023-12,2023,12,Q4 2023,True,False,False
12780,Remedy erroneous join in HVFItemAgg,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-12-21 15:24:05+00:00,2023-12-21 16:26:38+00:00,2023-12-21 16:26:37+00:00,0,,0,0,https://github.com/vinted/warehouse-jobs/pull/12780,221,2023-12,2023,12,Q4 2023,True,False,False
2420,Corrections to HVF Act vs Target,lookml,vinted/lookml,merged,jeremychia,2023-12-22 09:44:12+00:00,2023-12-22 09:45:51+00:00,2023-12-22 09:45:50+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2420,225,2023-12,2023,12,Q4 2023,True,False,False
